[23.08.19 16:40:20:808]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:24:140]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:27:469]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:30:798]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:34:128]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:37:459]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:40:788]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:44:118]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:47:447]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:50:787]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:54:109]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:40:57:439]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:41:00:768]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:41:04:098]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:41:07:428]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:41:10:767]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:41:14:107]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
[23.08.19 16:41:17:420]: Exception: RunnableImpl.run|Calculator:calc(191)<-L2Character:calcStat(929)<-L2Player:getMaxHp(11974)<-L2Player:checkHpMessages(8560)<-L2Character:runImpl(4501)<-RunnableImpl:run(23)<-SteppingRunnable:run(76)<-SteppingRunnable:run(228)<-Executors:call(511)<-FutureTask:runAndReset$$$capture(308)<-FutureTask:runAndReset(-1)<-ScheduledThreadPoolExecutor:access$301(180)<-ScheduledThreadPoolExecutor:run(294)<-ThreadPoolExecutor:runWorker(1149)<-ThreadPoolExecutor:run(624)<-Thread:run(750)<-
